order,urn,name,name_acronym,party,party_acronym,vote,estrato_visual,color_rgba,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
47,urn2,Javier Padilla,JP,Honor y Democracia,HyD,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,72,bandeja2,7,-0.026002,-3.931415,0.182892,68.27,1.03,-159.78,77,OPCION 4,8.1
19,urn2,María Córdova,MC,Renovación Popular,RP,INDETERMINADO,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,91,bandeja2,7,0.01538,-4.005072,0.178415,2.19,51.32,13.98,78,OPCION 2,8.2
22,urn2,Gladys Echaíz,GE,Honor y Democracia,HyD,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,99,bandeja2,7,0.042164,-4.081353,0.17375,65.61,-77.54,48.89,79,OPCION 4,8.3
40,urn2,Jorge Morante,JM,Somos Perú,SP,INDETERMINADO,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,77,bandeja2,7,-0.039961,-4.016352,0.164713,-15.91,5.46,100.89,80,OPCION 4,8.4
32,urn2,Juan Lizarzaburu,JL,Alianza para el Progreso,APP,INDETERMINADO,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,85,bandeja2,7,0.05744,-3.998149,0.172161,51.57,-4.67,105.34,81,OPCION 2,8.5
23,urn2,Jhaec Espinoza,JE,Podemos Perú,PP,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,90,bandeja2,7,0.029259,-4.008958,0.177782,-1.1,51.5,10.25,82,VICIADO,8.6
36,urn2,Elizabeth Medina,EM,Somos Perú,SP,INDETERMINADO,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,80,bandeja2,7,-0.049115,-4.007174,0.150955,-3.83,-16.46,4.59,83,OPCION 2,8.7
24,urn2,Diana Gonzáles,DG,Avanza País,AvP,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,86,bandeja2,7,0.022276,-3.945758,0.16394,-124.78,98.52,-9.26,84,OPCION 2,8.8
25,urn2,Paul Gutiérrez,PG,Somos Perú,SP,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,88,bandeja2,7,0.038343,-4.071362,0.159784,84.32,7.26,21.23,85,OPCION 4,8.9
33,urn2,Jeny López,JL,Fuerza Popular,FP,INDETERMINADO,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,81,bandeja2,7,-0.038095,-3.947953,0.154119,-56.12,34.13,41.62,86,OPCION 4,9.0
37,urn2,Isaac Mita,IM,Perú Libre,PL,OPCION 4,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,76,bandeja2,7,-0.044464,-4.010575,0.142509,-6.08,-15.76,10.82,87,OPCION 4,9.1
34,urn2,José Luna,JL,Podemos Perú,PP,INDETERMINADO,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,83,bandeja2,7,0.049086,-4.003923,0.168034,51.61,-1.52,102.9,88,OPCION 4,9.2
42,urn2,Martha Moyano,MM,Fuerza Popular,FP,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,57,bandeja2,7,0.084378,-3.975583,0.151719,89.53,0.19,105.3,89,OPCION 4,9.3
28,urn2,María Jáuregui,MJ,Renovación Popular,RP,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,78,bandeja2,7,-0.025354,-4.037128,0.129174,-4.78,-16.31,4.85,90,VICIADO,9.4
59,urn2,Janet Rivas,JR,Perú Libre,PL,OPCION 4,Cluster_10,"(0.5, 0.5, 0.5, 1.0)",7094,63,bandeja2,7,-0.001276,-4.044203,0.117036,-2.14,-0.14,78.5,91,OPCION 4,9.5
27,urn2,Raúl Huamán,RH,Fuerza Popular,FP,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,79,bandeja2,7,-0.045247,-4.006613,0.131655,4.25,-16.43,-25.66,92,OPCION 4,9.6
35,urn2,Pedro Martínez,PM,Acción Popular,AP,OPCION 2,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,73,bandeja2,7,0.047729,-4.000841,0.128236,-2.13,0.71,105.3,93,OPCION 2,9.7
45,urn2,Ariana Orué,AO,Podemos Perú,PP,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,65,bandeja2,7,-0.009886,-4.044604,0.106837,-2.12,-0.26,80.21,94,OPCION 2,9.8
43,urn2,Alejandro Muñante,AM,Renovación Popular,RP,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,70,bandeja2,7,0.023457,-3.957408,0.108534,-14.11,-2.34,-11.93,95,OPCION 2,9.9
52,urn2,Alfredo Sinche,AS,Bancada Socialista,BS,OPCION 4,Cluster_10,"(0.5, 0.5, 0.5, 1.0)",7094,66,bandeja2,7,0.015398,-3.91233,0.110526,-91.14,-2.97,-12.05,96,OPCION 4,10.0
58,urn2,Tania Ramírez,TR,Fuerza Popular,FP,INDETERMINADO,Cluster_10,"(0.5, 0.5, 0.5, 1.0)",7094,58,bandeja2,7,0.014285,-4.052596,0.098251,0.15,-1.92,15.26,97,OPCION 4,10.1
39,urn2,Jorge Montoya,JM,Honor y Democracia,HyD,INDETERMINADO,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,69,bandeja2,7,0.022609,-3.957561,0.098676,-14.03,-2.79,-11.86,98,OPCION 2,10.2
49,urn2,Karol Paredes,KP,Avanza País,AvP,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,64,bandeja2,7,0.007066,-4.044069,0.088075,1.22,-1.5,-16.33,99,OPCION 2,10.3
46,urn2,Flor Medina,FM,No agrupado,NA,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,71,bandeja2,7,-0.062912,-3.93358,0.09259,4.98,-94.31,-50.55,100,OPCION 4,10.4
50,urn2,Alex Paredes,AP,Somos Perú,SP,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,67,bandeja2,7,0.021735,-3.957609,0.088497,-14.25,-2.77,-11.91,101,OPCION 2,10.5
53,urn2,Luis Picón,LP,Podemos Perú,PP,INDETERMINADO,Cluster_10,"(0.5, 0.5, 0.5, 1.0)",7094,62,bandeja2,7,0.01459,-4.038453,0.078913,2.13,-1.18,-34.04,102,OPCION 4,10.6
38,urn2,Silvia Monteza,SM,Acción Popular,AP,INDETERMINADO,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,75,bandeja2,7,-0.051524,-4.01994,0.077303,85.8,0.02,-100.62,103,OPCION 2,10.7
