order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
7,urn2,Carlos Alva,CA,Acción Popular,AP,INDETERMINADO,8709,103,bandeja2,1,-0.112164,-3.999137,0.063551,0.09,-157.38,50.82,103,OPCION 2,10.7
6,urn2,Maria del Carmen Alva,MCA,Acción Popular,AP,OPCION 2,8709,106,bandeja2,1,0.037876,-3.895752,0.089827,-0.24,179.87,71.71,104,OPCION 2,10.8
15,urn2,Ernesto Bustamante,EB,Fuerza Popular,FP,INDETERMINADO,8709,104,bandeja2,1,-0.015621,-4.020281,0.049995,-0.03,0.08,24.24,105,OPCION 2,10.9
19,urn2,María Córdova,MC,Renovación Popular,RP,INDETERMINADO,8709,105,bandeja2,1,-0.031555,-3.944642,0.089895,0.02,0.1,18.0,106,OPCION 2,11.0
4,urn2,Lady Camones,LC,Alianza para el Progreso,APP,INDETERMINADO,8709,107,bandeja2,1,-0.061084,-3.947922,0.069966,-0.01,-0.02,-129.59,107,OPCION 4,11.1
9,urn2,José Arriola,JA,Podemos Perú,PP,INDETERMINADO,8709,108,bandeja2,1,-0.038969,-3.96034,0.049961,-0.0,0.03,25.84,108,OPCION 2,11.2
2,urn2,Waldemar Cerrón,WC,Perú Libre,PL,OPCION 4,8709,110,bandeja2,1,0.075654,-3.959866,0.076957,-1.78,89.86,-71.15,109,OPCION 4,11.3
10,urn2,Alfredo Azurín,AA,Somos Perú,SP,INDETERMINADO,8709,109,bandeja2,1,0.017181,-4.054426,0.11874,89.99,0.01,25.47,110,OPCION 4,11.4
1,urn2,Fernando Rospigliosi,FR,Fuerza Popular,FP,INDETERMINADO,8709,111,bandeja2,1,-0.00198,-4.017989,0.109897,-0.0,-0.04,25.21,111,OPCION 4,11.5
3,urn2,Ilich López,IL,Acción Popular,AP,OPCION 2,8709,113,bandeja2,1,-0.006026,-3.996545,0.089922,-0.05,-0.02,12.74,112,OPCION 2,11.6
5,urn2,Alejandro Cavero,AC,Avanza País,AvP,INDETERMINADO,8709,112,bandeja2,1,0.004008,-4.001257,0.06996,-0.08,0.03,7.33,113,OPCION 4,11.7
36,urn1,Norma Yarrow,NY,Renovación Popular,RP,INDETERMINADO,8231,1,bandeja1,2,-0.224533,3.951851,0.049574,2.32,-1.47,-72.49,1,OPCION 4,0.5
39,urn1,Segundo Acuña,SA,Honor y Democracia,HyD,INDETERMINADO,8231,2,bandeja1,2,0.068225,4.216756,0.049876,-179.92,0.2,-30.84,2,OPCION 2,0.6
40,urn1,Patricia Chirinos,PC,Renovación Popular,RP,OPCION 4,8231,4,bandeja1,2,0.025479,3.797612,0.049922,179.99,0.06,-9.23,3,OPCION 4,0.7
35,urn1,José Williams,JW,Avanza País,AvP,INDETERMINADO,8231,3,bandeja1,2,-0.120558,3.813431,0.049706,0.08,0.01,54.7,4,OPCION 2,0.8
38,urn1,Mary Acuña,MA,Alianza para el Progreso,APP,INDETERMINADO,8231,5,bandeja1,2,0.068564,3.848444,0.049962,0.02,-0.02,-11.12,5,OPCION 4,0.9
31,urn1,Jhakeline Ugarte,JU,Juntos por el Perú,JPP,OPCION 4,8231,8,bandeja1,2,0.184761,4.081078,0.049991,-0.01,0.01,86.23,6,OPCION 4,1.0
32,urn1,Héctor Valer,HV,Somos Perú,SP,INDETERMINADO,8231,6,bandeja1,2,-0.146982,4.178662,0.049675,0.03,-0.35,-137.84,7,OPCION 4,1.1
27,urn1,Abel Reyes,AR,Perú Libre,PL,OPCION 4,8231,10,bandeja1,2,-0.131967,3.810376,0.069719,179.98,0.08,-42.95,8,OPCION 4,1.2
34,urn1,Elvis Vergara,EV,Acción Popular,AP,INDETERMINADO,8231,7,bandeja1,2,-0.089837,4.147383,0.049965,0.02,0.01,48.24,9,OPCION 4,1.3
33,urn1,Elías Varas,EV,Juntos por el Perú,JPP,OPCION 4,8231,12,bandeja1,2,0.156055,4.149375,0.049885,-0.01,0.02,20.74,10,OPCION 4,1.4
30,urn1,Adriana Tudela,AT,Avanza País,AvP,INDETERMINADO,8231,9,bandeja1,2,-0.088181,3.86836,0.049939,-0.14,0.01,-34.93,11,OPCION 4,1.5
37,urn1,Óscar Zea,OZ,Somos Perú,SP,INDETERMINADO,8231,11,bandeja1,2,0.223204,3.984139,0.049774,0.13,0.09,-4.81,12,OPCION 2,1.6
24,urn1,Segundo Montalvo,SM,Perú Libre,PL,INDETERMINADO,8231,13,bandeja1,2,-0.121238,4.163909,0.069874,0.26,-0.38,-75.01,13,OPCION 2,1.7
22,urn1,Jorge Marticorena,JM,Alianza para el Progreso,APP,INDETERMINADO,8231,14,bandeja1,2,-0.00734,4.191216,0.04994,-0.02,-0.06,-17.07,14,OPCION 4,1.8
23,urn1,Esdras Medina,EM,Renovación Popular,RP,INDETERMINADO,8231,15,bandeja1,2,0.047206,3.77302,0.069813,-0.24,179.84,81.52,15,OPCION 2,1.9
